# photometric and parallax of HARPS spectra
# P Jofre, cambridge, Fri Feb  6 23:33:57 2015
Star ra  dec  plx  e_plx  hpmag  s_hpmag b-v  e_b-v  v-i vmag sourceVmag  J2mass  eJ2mass  H2mass  eH2mass  K2mass  eK2mass qual2mass n(in1arcmin) 
 HIP100064     304.5134020260     -12.5448584361     30.82     0.19    3.7388   0.004    0.883   0.055    0.920    3.580   H    1.963   0.304    1.526   0.228    1.466   0.290   DDD   01
 HIP100233     304.9385896567     -25.2282424731     24.85     0.65    7.3267   0.008    0.594   0.008    0.660    7.200   G    6.130   0.026    5.855   0.036    5.758   0.017   AAA   02
 HIP101345     308.0979648578      -9.8536410604     40.98     0.33    5.8003   0.005    0.689   0.003    0.740    5.660   H    4.309   0.282    3.908   0.248    3.999   0.036   DDE   02
 HIP101346     308.0997750033       6.5175165262     10.07     0.84    8.6583   0.013    0.544   0.027    0.620    8.540   G    7.442   0.024    7.169   0.024    7.104   0.021   AAA   02
 HIP101772     309.3916149726     -47.2916611114     33.17     0.18    3.2707   0.005    0.998   0.004    0.980    3.110   G    1.377   0.284    0.777   0.276    0.697   0.318   DDD   01
 HIP101785     309.4310449586     -22.4428872290     19.27     0.67    7.5267   0.007    0.465   0.015    0.540    7.420   H    6.548   0.018    6.353   0.026    6.308   0.029   AAA   03
 HIP101806     309.4663971182     -60.6343237324     20.01     0.66    7.6330   0.011    0.667   0.010    0.730    7.500   H    6.378   0.021    6.118   0.033    6.034   0.027   AAA   04
 HIP101808     309.4674119411     -25.1091825055     21.04     0.41    6.4624   0.005    0.328   0.007    0.380    6.380   H    5.679   0.020    5.549   0.018    5.492   0.023   AAA   02
 HIP101983     310.0094342687     -60.5475075483     40.55     0.27    5.2317   0.005    0.544   0.022    0.640    5.110   H    4.197   0.284    3.777   0.244    3.828   0.264   DDD   01
 HIP102018     310.0925660479     -24.1173172801     24.89     0.57    7.3392   0.007    0.607   0.008    0.680    7.210   G    6.106   0.018    5.878   0.034    5.789   0.017   AAA   01
 HIP102040     310.1877709241      19.9347769494     47.74     0.48    6.5617   0.007    0.611   0.009    0.710    6.430   H    5.252   0.017    5.085   0.051    4.921   0.020   AAA   01
 HIP102200     310.6145989386     -33.3285872765     13.75     1.14    9.3181   0.019    0.650   0.027    0.710    9.180   H    8.035   0.027    7.755   0.044    7.636   0.038   AAA   02
